System,Total Return,Ann Return,Sharpe,Volatility,Max Drawdown,CVaR 5pct,Calmar,Avg Turnover
Buy & Hold (Equal Weight),0.19662300533074473,0.046132012859943616,0.45364254674644394,0.09941652370527417,-0.22215369319393846,-0.01411856675971614,0.20765809560352763,0.0
HMM Hard Label + DQN,0.2384772871209746,0.05882132721793276,0.5764218291720882,0.09915712954547351,-0.22203703385365123,-0.014031580433834378,0.2649167402258805,1.668534537202504e-06
No Regime + IQN,0.23842548911212158,0.05880949290081139,0.5763816345705381,0.09914465281300525,-0.22201845979733487,-0.014029468412632333,0.26488559984829396,2.0714196580229327e-06
HMM Posterior + DQN,0.23847855721776323,0.058821617393028935,0.5764241408709448,0.09915720732390738,-0.22203674842060345,-0.01403157963978025,0.26491838766078196,1.7537970506964484e-06
UARC Full System (Ours),0.23841925427336697,0.05880806839961039,0.5763756397988476,0.09914334978876924,-0.2220155274277362,-0.014029251090326,0.2648826822202867,3.3467977118561976e-06
