System,Total Return,Ann Return,Sharpe,Volatility,Max Drawdown,CVaR 5pct,Calmar,Avg Turnover
Buy & Hold (Equal Weight),0.3131515330553316,0.0708438885906788,0.6055354174960615,0.1130355328138248,-0.1757041910480035,-0.016288893111591367,0.4031997652880335,0.0
HMM Hard Label + DQN,0.2555275552221552,0.06269725691765204,0.5381810978463288,0.11299218496867793,-0.17582220802081236,-0.016257212832297394,0.3565946396841431,4.141348199482309e-06
No Regime + IQN,0.2554646233323845,0.06268302213278298,0.5380922926938654,0.11298593927568717,-0.1758208568390509,-0.016256103670980585,0.35651641824362157,2.1992896108713467e-06
HMM Posterior + DQN,0.2555161509080388,0.06269467737463241,0.5381629632608504,0.11299148203837034,-0.1758224747844083,-0.016257120910630855,0.3565794273542559,4.1916555346688256e-06
UARC Full System (Ours),0.2554670790237068,0.06268357760401932,0.5380969143286447,0.1129859402542006,-0.17582044576692535,-0.016256113756715058,0.3565204110966434,2.4970202048280044e-06
